#,"What country do you currently call home?","Not including where you currently live, what country would you like to call home?","Including where you currently live, what country would you like to call home?","Start Date (UTC)","Submit Date (UTC)","Network ID"
012c8af198ea9119b0e48111be88bc98,Australia,"New Zealand",Australia,"2016-06-06 03:44:47","2016-06-06 03:45:18",2416ebb065
440cdc6c741a7c1dbbd15aebbc9d456e,Australia,Israel,Israel,"2016-06-06 03:59:36","2016-06-06 04:00:15",520f0d0673
41e3b7f4ec83c39fc062902b76f7fda7,"United States",Canada,"United States","2016-06-06 04:40:43","2016-06-06 04:41:41",d8a1807bfd
1f149514a1b6c3d5f0a3d579d1127ef0,Canada,"United Kingdom","United Kingdom","2016-06-06 04:46:13","2016-06-06 04:47:10",7f43d4edde
f98d3c4017e100dc5f55c61771a32149,"United States","United Kingdom","United Kingdom","2016-06-06 04:59:41","2016-06-06 05:00:21",dbf1ce2fee
14107fe9c18da6961bf2c06eba1c95e1,"New Zealand",Australia,"New Zealand","2016-06-06 05:04:02","2016-06-06 05:04:28",d22bb891da
c2b510969f339b7d1e93f74ba205ac12,Canada,"United Kingdom",Canada,"2016-06-06 05:14:06","2016-06-06 05:14:46",81ee21ac32
6c07005a91fde7d485a475e4eaf75876,"United States",Germany,"United States","2016-06-06 05:22:30","2016-06-06 05:25:42",e0f72a7092
3468f915d1c22066255d14ec382faccb,"United States",China,"United States","2016-06-06 05:25:20","2016-06-06 05:26:03",8b7991e369
e5e7b9b7bfa0e94f3bac3b91ffb1ab17,"United States",Vietnam,"United States","2016-06-06 05:29:36","2016-06-06 05:31:35",a3f53c7bb5
41bb42cc19380a2d9df434ac16600fb2,Australia,"United Kingdom","United Kingdom","2016-06-06 05:43:33","2016-06-06 05:44:05",650f88c087
b11772153f94ac6a7ea35b7c2d91e9f5,"United States",France,France,"2016-06-06 05:46:38","2016-06-06 05:47:10",b065619326
af9b66253bcb76a5b37d3eb34c83e297,"United States",Canada,"United States","2016-06-06 05:52:47","2016-06-06 05:53:30",e8ce75672a
ac5b6ad6be0793d3db4b7dce4e83c8e9,"United States",Canada,"United States","2016-06-06 06:00:23","2016-06-06 06:01:29",ef40a5d3ec
18f992837c2881d3468793abaf8aa572,"United States",Germany,"United States","2016-06-06 06:02:12","2016-06-06 06:03:09",b425951e19
2c6ce8cfc32190c76285e5d44fe929a2,Australia,Canada,Canada,"2016-06-06 06:07:33","2016-06-06 06:08:39",02ca16793b
9b554865c6a557f8d2176526d908713e,Australia,"United Kingdom",Australia,"2016-06-06 06:13:06","2016-06-06 06:13:40",c8e112035e
